date,oil,GOLD,USA,Bitcorn
18-Mar,63,1325.562,29.25326087,9040.56
18-Apr,66,1335.332,29.4375,8033.6
18-May,70,1303.618,29.91818182,8451
18-Jun,68,1282.126,30.11625,6793.51
18-Jul,71,1238.064,30.60318182,7146.35
18-Aug,68,1201.859,30.77065217,6700.13
18-Sep,70,1199.198,30.79210526,6610.68
18-Oct,71,1214.726,30.93977273,6485.12
18-Nov,57,1221.275,30.89568182,5404.25
18-Dec,50,1249.887,30.86595238,3717.49
19-Jan,51,1291.63,30.87369565,3701.56
19-Feb,55,1319.755,30.862,3711.91
19-Mar,58,1302.286,30.8995,3976.07
19-Apr,64,1287.65,30.9025,5178.47
19-May,61,1282.46,31.28954545,7180.25
19-Jun,55,1358.488,31.36921053,9415.9
19-Jul,57,1414.611,31.12608696,10669.34
19-Aug,55,1497.102,31.44681818,10643.25
19-Sep,57,1510.336,31.16925,9814.07
19-Oct,54,1494.765,30.76477273,8411.93
