Date,Price,Open,High,Low,Vol.,Change %
19-Oct,97.154,99.035,99.305,96.885,390.00K,-1.89%
19-Sep,99.021,98.795,99.33,97.735,330.97K,0.16%
19-Aug,98.86,98.365,98.97,96.98,375.47K,0.61%
19-Jul,98.258,95.775,98.445,95.775,350.77K,2.71%
19-Jun,95.666,97.7,97.72,95.365,448.25K,-2.05%
19-May,97.666,97.23,98.26,96.81,291.45K,0.48%
19-Apr,97.201,96.795,98.085,96.365,274.91K,0.37%
19-Mar,96.845,96.165,97.665,95.17,384.08K,0.84%
19-Feb,96.043,95.29,97.23,95.11,331.80K,0.78%
19-Jan,95.304,95.69,96.56,94.635,467.04K,-0.45%
18-Dec,95.735,97.055,97.705,95.585,401.49K,-1.50%
18-Nov,97.196,96.885,97.53,95.485,482.09K,0.30%
18-Oct,96.901,94.71,96.98,94.47,502.98K,2.28%
18-Sep,94.737,95.115,95.68,93.395,411.38K,-0.36%
18-Aug,95.083,94.355,96.865,94.29,461.68K,0.86%
18-Jul,94.275,94.3,95.44,93.44,412.48K,-0.08%
18-Jun,94.349,93.96,95.255,93.18,446.09K,0.42%
18-May,93.959,91.62,94.975,91.595,601.07K,2.54%
18-Apr,91.63,89.68,91.79,88.945,478.85K,2.02%
18-Mar,89.812,90.655,90.885,88.53,512.74K,-0.82%
