Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb,9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar,"9,040.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Apr,"8,033.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May,"8,451.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jun,"6,793.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,"7,146.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug,"6,700.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep,"6,610.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Oct,"6,485.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov,"5,404.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec,"3,717.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan,"3,701.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Feb,"3,711.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar,"3,976.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Apr,"5,178.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May,"7,180.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,"9,415.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,"10,669.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug,"10,643.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Sep,"9,814.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Oct,"8,411.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
